TSI	3.5012	98.5645	89.27		
TTSI	-3.0451	119.819	950.4		
TWSI	-8.7381	116.8821	86.6		
UBSI	-3.7611	102.2714	28.05		
UWJI	-6.4191	110.9474	61.52		
WAMI	-4.09593	138.95004	1673		
WBSI	-9.6411	119.3911	456.67		
WOJI	-7.8372	110.9236	183.62		
WSI	-9.6689	120.297666	48		
YOGI	-7.817	110.295	171		
MBWA	-21.159	119.731201	194		
MEEK	-26.6376	118.613503	529		
MTN	-12.8436	131.132706	137.4		
XMI	-10.4495	105.689499	277.7		
BBJI	-7.462603	107.65	615		
JAGI	-8.4702	114.1521	171		
MNAI	-4.3605	102.9557	154		
PLAI	-8.8275	117.7765	125		
SMRI	-7.04915	110.440666	203		
SOEI	-9.7553	124.2672	1047		
UGM	-7.9125	110.523102	350
PPJI	-7.7054	112.635	913
MBJI	-7.4488	109.6322	390
RONI	-10.76	123.07	200
MTAI	2.198	128.2758	34
IGBI	-8.818	115.146	248
		
